feature_code,name,type,date_code,smokes,household_type,sex,long_term_condition,age,sm_lower_ci,sm_upper_ci,sm_percent
S08000022,Highland,NHS Health Board,2012,Yes,All,All,All,35-64,22.7,30.8,26.8
S08000019,Forth Valley,NHS Health Board,2012,Yes,All,All,All,16-34,19.5,32.1,25.8
S08000025,Orkney,NHS Health Board,2012,Yes,All,All,All,35-64,10.9,22.4,16.6
S08000019,Forth Valley,NHS Health Board,2015,Yes,All,All,All,16-34,14.4,25,19.7
S08000016,Borders,NHS Health Board,2014,Yes,All,All,All,16-34,7,23.9,15.5
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,Yes,All,All,All,65 and over,14.2,18.8,16.5
S08000022,Highland,NHS Health Board,2014,Yes,All,All,All,16-64,21.2,28.1,24.6
S08000020,Grampian,NHS Health Board,2013,Yes,All,All,All,16-64,22.4,28.4,25.4
S12000049,Glasgow City,Local Authority,2014,Yes,All,All,All,16-34,18.5,26.4,22.5
S12000039,West Dunbartonshire,Local Authority,2012,Yes,All,All,All,16-64,31,44.6,37.8
S12000029,South Lanarkshire,Local Authority,2012,Yes,All,All,All,16-64,23.5,31.7,27.6
S92000003,Scotland,Scotland,2015,Yes,All,All,All,35-64,21.8,23.8,22.8
S12000049,Glasgow City,Local Authority,2016-2017,Yes,All,All,All,All,21.3,24.5,22.9
S12000021,North Ayrshire,Local Authority,2014,Yes,All,All,All,16-64,21.9,31.9,26.9
S12000030,Stirling,Local Authority,2012,Yes,All,All,All,16-64,17,29.3,23.1
S12000035,Argyll and Bute,Local Authority,2012,Yes,All,All,All,16-34,27.7,59.1,43.4
S12000041,Angus,Local Authority,2012,Yes,All,All,All,16-64,19.8,30.3,25
S12000019,Midlothian,Local Authority,2012,Yes,All,All,All,16-64,19.5,33.3,26.4
S12000005,Clackmannanshire,Local Authority,2012,No,All,All,Limiting condition,All,51.3,70.6,60.9
S12000027,Shetland Islands,Local Authority,2016,Yes,All,All,Limiting condition,All,10.8,29,19.9
S12000018,Inverclyde,Local Authority,2012,Yes,All,All,Limiting condition,All,24.3,42.8,33.5
S12000019,Midlothian,Local Authority,2013,Yes,All,All,Limiting condition,All,13.5,35.7,24.6
S12000026,Scottish Borders,Local Authority,2017,Yes,All,All,Limiting condition,All,16,40,28
S12000023,Orkney Islands,Local Authority,2014,Yes,All,All,Limiting condition,All,13.7,35,24.4
S08000015,Ayrshire and Arran,NHS Health Board,2015,Yes,All,All,Limiting condition,All,21.7,30,25.8
S12000027,Shetland Islands,Local Authority,2019,No,All,All,Limiting condition,All,59.7,85.3,72.5
S08000015,Ayrshire and Arran,NHS Health Board,2015,No,All,All,Limiting condition,All,70,78.2,74.1
S12000041,Angus,Local Authority,2016,Yes,All,All,Limiting condition,All,10.5,23.6,17.1
S08000024,Lothian,NHS Health Board,2013,No,All,All,Limiting condition,All,68.6,76.2,72.4
S12000013,Na h-Eileanan Siar,Local Authority,2014,No,All,All,Limiting condition,All,69.7,88.4,79
S12000027,Shetland Islands,Local Authority,2013,No,All,All,Limiting condition,All,67.1,86.3,76.7
S12000029,South Lanarkshire,Local Authority,2012,No,All,All,Limiting condition,All,62.7,75.2,68.9
S12000035,Argyll and Bute,Local Authority,2018-2019,Yes,All,All,All,All,12.6,18,15.3
S12000045,East Dunbartonshire,Local Authority,2018-2019,Yes,All,All,All,All,5.8,10.1,7.9
S12000050,North Lanarkshire,Local Authority,2018-2019,Yes,All,All,All,All,18.5,22.7,20.6
S12000033,Aberdeen City,Local Authority,2018-2019,Yes,All,All,All,All,13.6,18,15.8
S12000049,Glasgow City,Local Authority,2013,Yes,All,All,Limiting condition,All,33.6,42.5,38
S12000030,Stirling,Local Authority,2014,Yes,All,All,Limiting condition,All,10.6,40.2,25.4
S08000029,Fife,NHS Health Board,2016,Yes,All,All,Limiting condition,All,18.5,28.9,23.7
S12000036,City of Edinburgh,Local Authority,2013,Yes,All,All,Limiting condition,All,22.5,32.3,27.4
S08000030,Tayside,NHS Health Board,2016,Yes,All,All,Limiting condition,All,18.8,27.8,23.3
S12000018,Inverclyde,Local Authority,2013,No,All,All,Limiting condition,All,56.8,78.1,67.4
S12000034,Aberdeenshire,Local Authority,2019,Yes,All,All,Limiting condition,All,13.4,26.4,19.9
S12000030,Stirling,Local Authority,2019,Yes,All,All,Limiting condition,All,14.9,32.7,23.8
S12000011,East Renfrewshire,Local Authority,2012,Yes,All,All,Limiting condition,All,9.5,25.4,17.5
S12000013,Na h-Eileanan Siar,Local Authority,2012,Yes,All,All,Limiting condition,All,12.7,29.9,21.3
S08000030,Tayside,NHS Health Board,2014,No,All,All,Limiting condition,All,67.3,77.2,72.3
S12000008,East Ayrshire,Local Authority,2016,No,All,All,Limiting condition,All,67.2,82.3,74.7
S12000006,Dumfries and Galloway,Local Authority,2017,Yes,All,All,Limiting condition,All,13.1,26.3,19.7
S08000026,Shetland,NHS Health Board,2012,Yes,All,All,Limiting condition,All,7.1,27.1,17.1
S12000039,West Dunbartonshire,Local Authority,2014,Yes,All,All,Limiting condition,All,17.9,36.2,27.1
S08000017,Dumfries and Galloway,NHS Health Board,2014,No,All,All,Limiting condition,All,67.3,81.3,74.3
S12000033,Aberdeen City,Local Authority,2015,Yes,All,All,Limiting condition,All,20.2,35.5,27.8
S12000026,Scottish Borders,Local Authority,2013,Yes,All,All,Limiting condition,All,13.8,30.9,22.3
S12000035,Argyll and Bute,Local Authority,2015,Yes,All,All,Limiting condition,All,15.2,33.3,24.3
S12000026,Scottish Borders,Local Authority,2019,Yes,All,All,Limiting condition,All,20.4,41.3,30.8
S12000023,Orkney Islands,Local Authority,2014,No,All,All,Limiting condition,All,65,86.3,75.7
S12000041,Angus,Local Authority,2012,No,All,All,Limiting condition,All,64.5,80.7,72.6
S12000008,East Ayrshire,Local Authority,2019,Yes,All,All,Limiting condition,All,16,29.9,22.9
S12000013,Na h-Eileanan Siar,Local Authority,2017,Yes,All,All,Limiting condition,All,12.3,26.5,19.4
S12000017,Highland,Local Authority,2013,Yes,All,All,Limiting condition,All,17.6,31.3,24.4
S12000040,West Lothian,Local Authority,2012,Yes,All,All,Limiting condition,All,17.7,35.6,26.6
S12000034,Aberdeenshire,Local Authority,2012,Yes,All,All,Limiting condition,All,16.8,32.6,24.7
S12000033,Aberdeen City,Local Authority,2013,No,All,All,Limiting condition,All,62.5,77,69.8
S12000020,Moray,Local Authority,2014,Yes,All,All,Limiting condition,All,15.4,31.8,23.6
S08000017,Dumfries and Galloway,NHS Health Board,2016,No,All,All,Limiting condition,All,70.4,83.3,76.8
S12000018,Inverclyde,Local Authority,2014,No,All,All,Limiting condition,All,47.3,69.8,58.5
S08000032,Lanarkshire,NHS Health Board,2017,No,All,All,Limiting condition,All,70.5,79,74.7
S12000023,Orkney Islands,Local Authority,2017,Yes,All,All,Limiting condition,All,8.4,29.6,19
S12000020,Moray,Local Authority,2015,Yes,All,All,Limiting condition,All,13.1,30.6,21.9
S12000038,Renfrewshire,Local Authority,2015,No,All,All,Limiting condition,All,63.3,80.1,71.7
S12000049,Glasgow City,Local Authority,2016,Yes,All,All,Limiting condition,All,31.9,41.4,36.6
S12000045,East Dunbartonshire,Local Authority,2015,No,All,All,Limiting condition,All,67.2,89.7,78.5
S92000003,Scotland,Scotland,2012,Yes,All,All,Limiting condition,All,28.4,31.3,29.9
S12000019,Midlothian,Local Authority,2013,No,All,All,Limiting condition,All,64.3,86.5,75.4
S12000035,Argyll and Bute,Local Authority,2013,Yes,All,All,Limiting condition,All,8.1,31.9,20
S12000034,Aberdeenshire,Local Authority,2012,No,All,All,Limiting condition,All,67.4,83.2,75.3
S12000045,East Dunbartonshire,Local Authority,2018,Yes,All,All,Limiting condition,All,1.7,12.2,6.9
S12000021,North Ayrshire,Local Authority,2017,No,All,All,Limiting condition,All,65.5,82.7,74.1
S12000033,Aberdeen City,Local Authority,2018,Yes,All,All,Limiting condition,All,14.7,26.8,20.7
S08000030,Tayside,NHS Health Board,2017,No,All,All,Limiting condition,All,71.7,81,76.3
S12000020,Moray,Local Authority,2018,No,All,All,Limiting condition,All,71.5,88.1,79.8
S12000019,Midlothian,Local Authority,2016,No,All,All,Limiting condition,All,70.4,88.9,79.7
S08000032,Lanarkshire,NHS Health Board,2014,No,All,All,Limiting condition,All,71.7,79.8,75.8
S12000011,East Renfrewshire,Local Authority,2015,No,All,All,Limiting condition,All,79.8,93.6,86.7
S12000008,East Ayrshire,Local Authority,2012,No,All,All,Limiting condition,All,53.8,72,62.9
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,No,All,All,Limiting condition,All,63.8,70,66.9
S12000030,Stirling,Local Authority,2016,Yes,All,All,Limiting condition,All,20.9,42.6,31.7
S12000021,North Ayrshire,Local Authority,2019,Yes,All,All,Limiting condition,All,17.6,33.8,25.7
S12000039,West Dunbartonshire,Local Authority,2017,Yes,All,All,Limiting condition,All,24.1,43.8,34
S08000028,Western Isles,NHS Health Board,2016,Yes,All,All,Limiting condition,All,11.4,29.9,20.7
S12000008,East Ayrshire,Local Authority,2014,No,All,All,Limiting condition,All,53,72.5,62.8
S12000039,West Dunbartonshire,Local Authority,2018,No,All,All,Limiting condition,All,63.4,80.3,71.8
S12000048,Perth and Kinross,Local Authority,2018-2019,Yes,All,All,All,All,12.1,18.1,15.1
S12000039,West Dunbartonshire,Local Authority,2018-2019,Yes,All,All,All,All,15.6,21.5,18.5
S12000028,South Ayrshire,Local Authority,2018-2019,Yes,All,All,All,All,14.8,21.3,18
S08000017,Dumfries and Galloway,NHS Health Board,2015,Yes,All,All,All,35-64,20.9,31.7,26.3
S12000039,West Dunbartonshire,Local Authority,2019,Yes,All,All,Limiting condition,All,16.2,30.7,23.4
S08000029,Fife,NHS Health Board,2018,Yes,All,All,Limiting condition,All,23.7,34.9,29.3
S12000040,West Lothian,Local Authority,2015,Yes,All,All,Limiting condition,All,15.5,33.9,24.7
S08000025,Orkney,NHS Health Board,2018,Yes,All,All,Limiting condition,All,8.9,32.3,20.6
S12000033,Aberdeen City,Local Authority,2015,No,All,All,Limiting condition,All,64,79.4,71.7
S12000047,Fife,Local Authority,2019,Yes,All,All,Limiting condition,All,19.1,28.8,24
S08000020,Grampian,NHS Health Board,2013,No,All,All,Limiting condition,All,69.3,79.5,74.4
S12000014,Falkirk,Local Authority,2016,Yes,All,All,Limiting condition,All,15.7,29.9,22.8
S12000045,East Dunbartonshire,Local Authority,2015,Yes,All,All,Limiting condition,All,10.3,32.8,21.5
S12000014,Falkirk,Local Authority,2018,No,All,All,All,16-64,78.9,87.8,83.4
S12000041,Angus,Local Authority,2012-2013,Yes,All,All,All,All,19.5,25.4,22.4
S12000029,South Lanarkshire,Local Authority,2018,No,All,All,All,16-64,74.3,81.3,77.8
S12000036,City of Edinburgh,Local Authority,2018,No,All,All,All,16-64,81.2,85.8,83.5
S12000038,Renfrewshire,Local Authority,2014,No,All,All,Limiting condition,All,61.6,78.6,70.1
S12000029,South Lanarkshire,Local Authority,2013,Yes,All,All,Limiting condition,All,22,35.9,28.9
S08000029,Fife,NHS Health Board,2015,Yes,All,All,Limiting condition,All,21.9,33.7,27.8
S12000028,South Ayrshire,Local Authority,2019,Yes,All,All,Limiting condition,All,13.5,27.4,20.5
S12000038,Renfrewshire,Local Authority,2016,Yes,All,All,Limiting condition,All,21,35.9,28.4
S12000021,North Ayrshire,Local Authority,2014,Yes,All,All,Limiting condition,All,21,34,27.5
S12000006,Dumfries and Galloway,Local Authority,2016,Yes,All,All,Limiting condition,All,16.7,29.6,23.2
S12000040,West Lothian,Local Authority,2016,Yes,All,All,Limiting condition,All,11.7,27.7,19.7
S92000003,Scotland,Scotland,2019,Yes,All,All,Limiting condition,All,23.5,26.2,24.8
S12000029,South Lanarkshire,Local Authority,2018,Yes,All,All,Limiting condition,All,20.4,31.9,26.1
S12000019,Midlothian,Local Authority,2019,No,All,All,Limiting condition,All,63.1,83.2,73.1
S08000022,Highland,NHS Health Board,2015,Yes,All,All,Limiting condition,All,17.6,27.7,22.7
S08000019,Forth Valley,NHS Health Board,2019,No,All,All,Limiting condition,All,71.4,81.3,76.3
S12000005,Clackmannanshire,Local Authority,2019,No,All,All,Limiting condition,All,60.2,82.5,71.4
S08000015,Ayrshire and Arran,NHS Health Board,2012,Yes,All,All,Limiting condition,All,27.9,38.9,33.4
S12000021,North Ayrshire,Local Authority,2019,No,All,All,Limiting condition,All,66.2,82.4,74.3
S08000020,Grampian,NHS Health Board,2017,Yes,All,All,Limiting condition,All,18.3,26.5,22.4
S12000048,Perth and Kinross,Local Authority,2015,Yes,All,All,Limiting condition,All,6.9,20.3,13.6
S12000040,West Lothian,Local Authority,2019,No,All,All,Limiting condition,All,65.8,81.6,73.7
S12000011,East Renfrewshire,Local Authority,2017,No,All,All,Limiting condition,All,72.9,92.1,82.5
S12000027,Shetland Islands,Local Authority,2015,No,All,All,Limiting condition,All,61.4,90,75.7
S12000014,Falkirk,Local Authority,2013,No,All,All,Limiting condition,All,62.9,79,70.9
S12000030,Stirling,Local Authority,2015,No,All,All,Limiting condition,All,66.4,87.6,77
S12000018,Inverclyde,Local Authority,2019,No,All,All,Limiting condition,All,62.7,78.1,70.4
S12000040,West Lothian,Local Authority,2016,No,All,All,Limiting condition,All,72.3,88.3,80.3
S12000035,Argyll and Bute,Local Authority,2016,No,All,All,Limiting condition,All,65.6,83.6,74.6
S08000015,Ayrshire and Arran,NHS Health Board,2014,No,All,All,Limiting condition,All,65.9,75,70.4
S12000005,Clackmannanshire,Local Authority,2017,No,All,All,Limiting condition,All,69.3,91.3,80.3
S12000033,Aberdeen City,Local Authority,2017,Yes,All,All,Limiting condition,All,18.5,32,25.2
S12000033,Aberdeen City,Local Authority,2012,Yes,All,All,Limiting condition,All,16.1,29.7,22.9
S12000027,Shetland Islands,Local Authority,2012,Yes,All,All,Limiting condition,All,7.1,27.1,17.1
S12000026,Scottish Borders,Local Authority,2017,No,All,All,Limiting condition,All,60,84,72
S12000028,South Ayrshire,Local Authority,2015,No,All,All,Limiting condition,All,69.7,83.5,76.6
S08000029,Fife,NHS Health Board,2015,No,All,All,Limiting condition,All,66.3,78.1,72.2
S12000013,Na h-Eileanan Siar,Local Authority,2016,Yes,All,All,Limiting condition,All,11.4,29.9,20.7
S12000028,South Ayrshire,Local Authority,2018,Yes,All,All,Limiting condition,All,16.2,33.3,24.8
S12000005,Clackmannanshire,Local Authority,2016,Yes,All,All,Limiting condition,All,17.8,54.1,35.9
S12000019,Midlothian,Local Authority,2014,No,All,All,Limiting condition,All,54.7,80,67.3
S08000026,Shetland,NHS Health Board,2017,No,All,All,Limiting condition,All,69.3,93.4,81.3
S12000047,Fife,Local Authority,2018,Yes,All,All,Limiting condition,All,23.7,34.9,29.3
S12000035,Argyll and Bute,Local Authority,2013,Yes,All,All,All,35-64,16.7,34.3,25.5
S12000014,Falkirk,Local Authority,2016,Yes,All,All,All,35-64,12.8,23.1,17.9
S12000013,Na h-Eileanan Siar,Local Authority,2016,Yes,All,All,All,35-64,17.8,34.5,26.1
S92000003,Scotland,Scotland,2014,Yes,All,All,All,16-34,22.6,25.7,24.2
S12000039,West Dunbartonshire,Local Authority,2014,Yes,All,All,All,35-64,18.5,31.2,24.8
S12000038,Renfrewshire,Local Authority,2013,Yes,All,All,All,35-64,18.8,31,24.9
S12000008,East Ayrshire,Local Authority,2016,Yes,All,All,All,16-34,12.9,33.9,23.4
S08000016,Borders,NHS Health Board,2017,Yes,All,All,All,16-34,15.9,46.4,31.2
S12000029,South Lanarkshire,Local Authority,2016,Yes,All,All,All,35-64,16.3,24.5,20.4
S12000013,Na h-Eileanan Siar,Local Authority,2013,Yes,All,All,All,35-64,20.5,36.2,28.3
S08000016,Borders,NHS Health Board,2017,Yes,All,All,All,65 and over,3.7,11.1,7.4
S12000010,East Lothian,Local Authority,2016,Yes,All,All,All,16-34,15.2,42.4,28.8
S12000006,Dumfries and Galloway,Local Authority,2016,No,All,All,All,65 and over,85.5,92.8,89.1
S08000015,Ayrshire and Arran,NHS Health Board,2015,No,All,All,All,65 and over,85,90.8,87.9
S92000003,Scotland,Scotland,2017,No,All,All,All,All,81.2,82.6,81.9
S08000029,Fife,NHS Health Board,2017,No,All,All,All,35-64,77.7,85.3,81.5
S12000041,Angus,Local Authority,2013,No,All,All,All,65 and over,83.1,94.9,89
S08000022,Highland,NHS Health Board,2014,No,All,All,All,16-34,67,80.2,73.6
S12000018,Inverclyde,Local Authority,2014,No,All,All,All,65 and over,77.7,92.1,84.9
S08000024,Lothian,NHS Health Board,2013,No,All,All,All,65 and over,85.4,91,88.2
S12000041,Angus,Local Authority,2012,No,All,All,All,65 and over,75,88.6,81.8
S08000026,Shetland,NHS Health Board,2014,No,All,All,All,16-34,59.3,85.7,72.5
S12000040,West Lothian,Local Authority,2013,Yes,All,All,All,16-34,10.1,28.4,19.2
S12000028,South Ayrshire,Local Authority,2013,Yes,All,All,All,16-34,18.9,40.2,29.6
S12000035,Argyll and Bute,Local Authority,2016,Yes,All,All,All,35-64,12.5,26,19.2
S08000019,Forth Valley,NHS Health Board,2012,No,All,All,All,65 and over,83.6,91.2,87.4
S12000017,Highland,Local Authority,2015,No,All,All,All,65 and over,86.7,94.9,90.8
S12000047,Fife,Local Authority,2016-2017,No,All,All,All,All,78.8,82.8,80.8
S12000028,South Ayrshire,Local Authority,2017,No,All,All,All,All,80.9,88.8,84.8
S12000013,Na h-Eileanan Siar,Local Authority,2019,Yes,All,All,All,16-34,4.5,33.6,19
S12000010,East Lothian,Local Authority,2014,No,All,All,All,65 and over,79,94,86.5
S08000020,Grampian,NHS Health Board,2019,Yes,All,All,All,35-64,14.2,19.5,16.8
S08000015,Ayrshire and Arran,NHS Health Board,2019,Yes,All,All,All,35-64,16.3,23,19.7
S12000048,Perth and Kinross,Local Authority,2015,Yes,All,All,All,All,13.1,21.6,17.3
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,Yes,All,All,All,35-64,24.2,28.8,26.5
S08000031,Greater Glasgow and Clyde,NHS Health Board,2019,Yes,All,All,All,35-64,18,22.2,20.1
S12000048,Perth and Kinross,Local Authority,2016,Yes,All,All,All,16-34,12.8,34.2,23.5
S12000033,Aberdeen City,Local Authority,2016,Yes,All,All,All,35-64,17.5,27.5,22.5
S12000040,West Lothian,Local Authority,2014,Yes,All,All,All,All,15.1,25.5,20.3
S08000017,Dumfries and Galloway,NHS Health Board,2019,Yes,All,All,All,65 and over,7,16.4,11.7
S12000045,East Dunbartonshire,Local Authority,2013,No,All,All,All,65 and over,94,99.5,96.7
S12000036,City of Edinburgh,Local Authority,2014,Yes,All,All,All,All,14.7,19.4,17.1
S12000014,Falkirk,Local Authority,2019,Yes,All,All,All,16-34,6.2,19,12.6
S08000020,Grampian,NHS Health Board,2019,Yes,All,All,All,16-34,16.2,25.3,20.8
S12000017,Highland,Local Authority,2019,Yes,All,All,All,35-64,15.1,24.9,20
S08000031,Greater Glasgow and Clyde,NHS Health Board,2019,Yes,All,All,All,16-34,15.3,20.9,18.1
S12000035,Argyll and Bute,Local Authority,2017,No,All,All,All,All,75.7,85.2,80.4
S12000023,Orkney Islands,Local Authority,2012,No,All,All,All,35-64,77.6,89.2,83.4
S08000025,Orkney,NHS Health Board,2015,No,All,All,All,16-64,75,86.9,81
S08000026,Shetland,NHS Health Board,2015,No,All,All,All,16-64,76.5,87.5,82
S12000034,Aberdeenshire,Local Authority,2014,No,All,All,All,16-34,68.4,84.1,76.3
S08000022,Highland,NHS Health Board,2014,No,All,All,All,16-64,71.8,78.8,75.3
S12000023,Orkney Islands,Local Authority,2012,No,All,All,All,65 and over,81.4,94,87.7
S12000020,Moray,Local Authority,2012,No,All,All,All,16-34,67.6,86.1,76.8
S12000020,Moray,Local Authority,2017,No,All,All,All,16-34,62.9,87,75
S08000019,Forth Valley,NHS Health Board,2019,Yes,All,All,All,16-34,8,17,12.5
S12000017,Highland,Local Authority,2019,Yes,All,All,All,65 and over,5.1,11.7,8.4
S08000020,Grampian,NHS Health Board,2015,No,All,All,All,16-64,75.1,80,77.6
S08000024,Lothian,NHS Health Board,2016,No,All,All,All,16-34,76.4,83.2,79.8
S08000019,Forth Valley,NHS Health Board,2017,No,All,All,All,35-64,81.7,88.2,85
S12000030,Stirling,Local Authority,2016,No,All,All,All,65 and over,85.2,97.1,91.2
S08000015,Ayrshire and Arran,NHS Health Board,2015,No,All,All,All,16-34,69,80.1,74.6
S12000021,North Ayrshire,Local Authority,2017,No,All,All,All,65 and over,81.6,93.6,87.6
S12000039,West Dunbartonshire,Local Authority,2019,Yes,All,All,All,16-64,16.4,25.9,21.2
S12000035,Argyll and Bute,Local Authority,2019,Yes,All,All,All,16-64,12.9,22.1,17.5
S12000005,Clackmannanshire,Local Authority,2019,Yes,All,All,All,16-64,20.5,34.6,27.5
S12000005,Clackmannanshire,Local Authority,2019,Yes,All,All,All,35-64,21.3,36.3,28.8
S12000042,Dundee City,Local Authority,2019,Yes,All,All,All,16-34,5.6,17.8,11.7
S08000025,Orkney,NHS Health Board,2016,No,All,All,All,65 and over,92.2,98.4,95.3
S12000027,Shetland Islands,Local Authority,2012,No,All,All,All,16-34,65.2,86.6,75.9
S08000024,Lothian,NHS Health Board,2014,No,All,All,All,65 and over,83.5,89.3,86.4
S12000014,Falkirk,Local Authority,2012,No,All,All,All,16-34,64,81.3,72.7
S12000030,Stirling,Local Authority,2019,Yes,All,All,All,16-64,8.8,18.7,13.8
S12000026,Scottish Borders,Local Authority,2012,No,All,All,All,35-64,72.1,83.7,77.9
S12000006,Dumfries and Galloway,Local Authority,2013,No,All,All,All,16-34,76.7,90.3,83.5
S12000023,Orkney Islands,Local Authority,2015,No,All,All,All,35-64,77.4,90.6,84
S12000029,South Lanarkshire,Local Authority,2013,No,All,All,All,35-64,69.8,78.8,74.3
S12000011,East Renfrewshire,Local Authority,2012,No,All,All,All,35-64,76.7,89.3,83
S12000030,Stirling,Local Authority,2015,No,All,All,All,35-64,76.6,88.8,82.7
S12000026,Scottish Borders,Local Authority,2013,No,All,All,All,35-64,71.8,84.4,78.1
S12000020,Moray,Local Authority,2017,No,All,All,All,All,75.9,84.9,80.4
S12000021,North Ayrshire,Local Authority,2012,No,All,All,All,65 and over,80.5,90.8,85.7
S12000036,City of Edinburgh,Local Authority,2014,No,All,All,All,65 and over,85.6,92.8,89.2
S08000030,Tayside,NHS Health Board,2013,No,All,All,All,All,75.5,80.7,78.1
S12000033,Aberdeen City,Local Authority,2015,No,All,All,All,16-34,72,83.6,77.8
S12000039,West Dunbartonshire,Local Authority,2016-2017,No,All,All,All,All,75.5,81.8,78.6
S12000013,Na h-Eileanan Siar,Local Authority,2014,No,All,All,All,65 and over,88.8,97.1,92.9
S12000008,East Ayrshire,Local Authority,2019,Yes,All,All,All,35-64,12.8,23.4,18.1
S12000011,East Renfrewshire,Local Authority,2019,Yes,All,All,All,16-34,0.8,16.9,8.9
S08000024,Lothian,NHS Health Board,2017,No,All,All,All,65 and over,86.1,91.2,88.6
S12000017,Highland,Local Authority,2019,Yes,All,All,All,16-34,16.9,37.4,27.2
S08000015,Ayrshire and Arran,NHS Health Board,2019,Yes,All,All,All,65 and over,7.7,13.6,10.6
S12000010,East Lothian,Local Authority,2019,Yes,All,All,All,16-34,11,32,21.5
S12000021,North Ayrshire,Local Authority,2015,No,All,All,All,35-64,67.2,79.2,73.2
S12000036,City of Edinburgh,Local Authority,2014,No,All,All,All,16-34,77.5,85.8,81.7
S08000024,Lothian,NHS Health Board,2014,No,All,All,All,35-64,79.2,84.2,81.7
S12000028,South Ayrshire,Local Authority,2015,No,All,All,All,16-34,63.1,84.6,73.9
S08000030,Tayside,NHS Health Board,2013,No,All,All,All,65 and over,84.4,91.1,87.7
S12000010,East Lothian,Local Authority,2012,No,All,All,All,35-64,61.3,82.8,72.1
S12000006,Dumfries and Galloway,Local Authority,2019,Yes,All,All,All,16-34,22.9,43.7,33.3
S08000032,Lanarkshire,NHS Health Board,2012,Yes,All,All,All,All,23.3,28,25.7
S08000020,Grampian,NHS Health Board,2013,Yes,All,All,All,35-64,20.7,27.8,24.2
S08000022,Highland,NHS Health Board,2015,Yes,All,All,All,35-64,19.6,26.8,23.2
S08000024,Lothian,NHS Health Board,2012,Yes,All,All,All,35-64,22.3,28.4,25.3
S08000025,Orkney,NHS Health Board,2015,Yes,All,All,All,35-64,9.4,22.6,16
S12000011,East Renfrewshire,Local Authority,2016-2017,Yes,All,All,All,All,8.3,14.6,11.4
S08000019,Forth Valley,NHS Health Board,2015,Yes,All,All,All,35-64,12.7,19.8,16.3
S08000026,Shetland,NHS Health Board,2015,Yes,All,All,All,35-64,10.9,24.2,17.6
S12000021,North Ayrshire,Local Authority,2017,Yes,All,All,All,All,17.1,26.5,21.8
S12000021,North Ayrshire,Local Authority,2015,Yes,All,All,All,16-64,21.7,31.8,26.8
S12000023,Orkney Islands,Local Authority,2015,Yes,All,All,All,16-64,13.1,25,19
S12000033,Aberdeen City,Local Authority,2016-2017,Yes,All,All,All,All,16.3,20.6,18.4
S12000030,Stirling,Local Authority,2016-2017,Yes,All,All,All,All,10.9,16.3,13.6
S08000015,Ayrshire and Arran,NHS Health Board,2013,Yes,All,All,All,16-64,23.3,30.9,27.1
S08000016,Borders,NHS Health Board,2013,Yes,All,All,All,16-64,17.6,28.9,23.3
S12000028,South Ayrshire,Local Authority,2016-2017,Yes,All,All,All,All,13.2,18.9,16.1
S12000049,Glasgow City,Local Authority,2016,Yes,All,All,All,16-34,14.5,21.7,18.1
S12000005,Clackmannanshire,Local Authority,2015,Yes,All,All,All,16-64,14.5,30.1,22.3
S12000049,Glasgow City,Local Authority,2016,Yes,All,All,All,All,20.8,25.3,23.1
S08000032,Lanarkshire,NHS Health Board,2015,Yes,All,All,All,65 and over,10.3,16.4,13.4
S12000049,Glasgow City,Local Authority,2016,Yes,All,All,All,16-64,21.2,26.3,23.7
S08000017,Dumfries and Galloway,NHS Health Board,2014,Yes,All,All,All,16-64,24.6,35.7,30.2
S12000023,Orkney Islands,Local Authority,2014,Yes,All,All,All,All,12.4,21.6,17
S08000028,Western Isles,NHS Health Board,2014,Yes,All,All,All,16-64,25.4,41.7,33.5
S12000034,Aberdeenshire,Local Authority,2012,Yes,All,All,All,35-64,15.9,25.3,20.6
S12000028,South Ayrshire,Local Authority,2014,Yes,All,All,All,16-64,17,27.9,22.4
S12000005,Clackmannanshire,Local Authority,2012,Yes,All,All,All,35-64,23.7,40.4,32
S12000021,North Ayrshire,Local Authority,2012,Yes,All,All,All,16-64,25.7,38.3,32
S12000026,Scottish Borders,Local Authority,2013,Yes,All,All,All,16-64,17.6,28.9,23.3
S12000008,East Ayrshire,Local Authority,2015,Yes,All,All,All,16-64,18.4,28.9,23.6
S12000038,Renfrewshire,Local Authority,2016,Yes,All,All,All,16-34,13.2,29.6,21.4
S12000036,City of Edinburgh,Local Authority,2012,Yes,All,All,All,35-64,21.3,29.3,25.3
S12000018,Inverclyde,Local Authority,2014,Yes,All,All,All,All,17.5,27.4,22.4
S12000028,South Ayrshire,Local Authority,2014,Yes,All,All,All,35-64,17.4,30,23.7
S12000020,Moray,Local Authority,2014,Yes,All,All,All,All,16,24.3,20.1
S12000005,Clackmannanshire,Local Authority,2012,Yes,All,All,All,16-34,14.6,33.5,24
S12000029,South Lanarkshire,Local Authority,2014,Yes,All,All,All,16-64,18.1,25.8,22
S12000008,East Ayrshire,Local Authority,2014,Yes,All,All,All,All,20,28.9,24.5
S12000027,Shetland Islands,Local Authority,2013,Yes,All,All,All,16-64,11,24.4,17.7
S12000049,Glasgow City,Local Authority,2012,Yes,All,All,All,All,23.8,28.7,26.2
S12000013,Na h-Eileanan Siar,Local Authority,2013,Yes,All,All,All,16-64,19.5,32.3,25.9
